id,name,shortName,image,url,timeStamp,status
6867,Which party will win the 2024 U.S. presidential election?,Which party wins the presidency in 2024?,https://az620379.vo.msecnd.net/images/Markets/4a0705c2-577f-47f6-afa5-d1510d771597.jpg,https://www.predictit.org/markets/detail/6867/Which-party-will-win-the-2024-US-presidential-election,2024-07-15T00:57:40.4061304,Open
7013,Will a woman be elected U.S. president in 2024?,Woman president elected in 2024?,https://az620379.vo.msecnd.net/images/Markets/5ea99b02-9413-4222-aaec-823a2a2de73a.jpg,https://www.predictit.org/markets/detail/7013/Will-a-woman-be-elected-US-president-in-2024,2024-07-15T00:57:40.4061304,Open
7053,Who will win the 2024 Republican presidential nomination?,GOP 2024 presidential nominee?,https://az620379.vo.msecnd.net/images/Markets/b2def0a6-92a1-4247-bc77-ec76ebea642f.jpg,https://www.predictit.org/markets/detail/7053/Who-will-win-the-2024-Republican-presidential-nomination,2024-07-15T00:57:40.4061304,Open
7057,Who will win the 2024 Democratic presidential nomination?,Democratic 2024 presidential nominee?,https://az620379.vo.msecnd.net/images/Markets/4925e586-edc2-4238-8237-e8c2b2fa429d.png,https://www.predictit.org/markets/detail/7057/Who-will-win-the-2024-Democratic-presidential-nomination,2024-07-15T00:57:40.4061304,Open
7136,Will Joe Biden resign during his first term?,Will Biden resign during his first term?,https://az620379.vo.msecnd.net/images/Markets/5f1bcacc-8162-4152-ab4a-475c68e7100c.jpg,https://www.predictit.org/markets/detail/7136/Will-Joe-Biden-resign-during-his-first-term,2024-07-15T00:57:40.4061304,Open
7158,Which state will hold the first Democratic primary for the 2024 nominee?,First primary in 2024 Dem. nomination?,https://az620379.vo.msecnd.net/images/Markets/4925e586-edc2-4238-8237-e8c2b2fa429d.png,https://www.predictit.org/markets/detail/7158/Which-state-will-hold-the-first-Democratic-primary-for-the-2024-nominee,2024-07-15T00:57:40.4061304,Open
7419,Will Kamala Harris be the 47th US president?,Harris the 47th US president?,https://az620379.vo.msecnd.net/images/Markets/42e624ca-be5f-4c3e-8939-86bb42b0314d.jpg,https://www.predictit.org/markets/detail/7419/Will-Kamala-Harris-be-the-47th-US-president,2024-07-15T00:57:40.4061304,Open
7456,Who will win the 2024 US presidential election?,2024 presidential election winner?,https://az620379.vo.msecnd.net/images/Markets/5a94f1fa-23ba-4bc4-ba25-a3c016449b75.png,https://www.predictit.org/markets/detail/7456/Who-will-win-the-2024-US-presidential-election,2024-07-15T00:57:40.4061304,Open
7629,Will Kamala Harris be on the 2024 Democratic ticket?,Harris on 2024 Democratic ticket?,https://az620379.vo.msecnd.net/images/Markets/42e624ca-be5f-4c3e-8939-86bb42b0314d.jpg,https://www.predictit.org/markets/detail/7629/Will-Kamala-Harris-be-on-the-2024-Democratic-ticket,2024-07-15T00:57:40.4061304,Open
8069,Who will win the 2024 Republican vice presidential nomination?,Republican VP nominee?,https://az620379.vo.msecnd.net/images/Markets/254f97db-a7ed-4348-831c-7394567f2a2e.png,https://www.predictit.org/markets/detail/8069/Who-will-win-the-2024-Republican-vice-presidential-nomination,2024-07-15T00:57:40.4061304,Open
8070,Which party will win the 2024 US Senate election in Arizona?,Which party will win the AZ Senate race?,https://az620379.vo.msecnd.net/images/Markets/7479c4a3-63f5-40f3-be14-ad94a3cbfa99.jpg,https://www.predictit.org/markets/detail/8070/Which-party-will-win-the-2024-US-Senate-election-in-Arizona,2024-07-15T00:57:40.4061304,Open
8072,Which party will win Georgia in the 2024 presidential election?,Which party will win GA in 2024?,https://az620379.vo.msecnd.net/images/Markets/d3bfa686-e11b-4227-91e1-9e834bcb7e88.jpg,https://www.predictit.org/markets/detail/8072/Which-party-will-win-Georgia-in-the-2024-presidential-election,2024-07-15T00:57:40.4061304,Open
8075,Which party will win the 2024 US Senate election in Ohio?,Which party will win the OH Senate race?,https://az620379.vo.msecnd.net/images/Markets/e03ef8e1-935f-48df-b68f-2c6a8b5e3bec.png,https://www.predictit.org/markets/detail/8075/Which-party-will-win-the-2024-US-Senate-election-in-Ohio,2024-07-15T00:57:40.4061304,Open
8076,Which party will win Wisconsin in the 2024 presidential election?,Which party will win WI in 2024?,https://az620379.vo.msecnd.net/images/Markets/0ed2fbd7-1c7c-48c7-aac6-e429ed33fa15.jpg,https://www.predictit.org/markets/detail/8076/Which-party-will-win-Wisconsin-in-the-2024-presidential-election,2024-07-15T00:57:40.4061304,Open
8077,What will be the Electoral College margin in the 2024 presidential election?,Electoral College margin in 2024?,https://az620379.vo.msecnd.net/images/Markets/fb367c5c-1583-414f-844b-f7b55cb7c2ec.jpg,https://www.predictit.org/markets/detail/8077/What-will-be-the-Electoral-College-margin-in-the-2024-presidential-election,2024-07-15T00:57:40.4061304,Open
